,Los Angeles,Anchorage,Honolulu,Seattle,Phoenix,Dallas,Las Vegas,Orlando,NYC,Chicago
Los Angeles,0,2340,2587,971,356,0,229,2201,0,0
Anchorage,2340,0,0,1435,0,0,0,0,0,0
Honolulu,2587,0,0,0,0,0,0,0,0,0
Seattle,971,1435,0,0,1113,0,0,0,0,1733
Phoenix,356,0,0,1113,0,884,258,0,0,0
Dallas,0,0,0,0,884,0,,965,0,800
Las Vegas,229,0,0,0,258,0,0,0,0,0
Orlando,2201,0,0,0,0,965,0,0,942,983
NYC,0,0,0,0,0,0,0,942,0,712
Chicago,0,0,0,1733,0,800,0,983,712,0
,,,,,,,,,,
,,,,,,,,,,
,,sum(1435+1733),,,,,,,,
,,,,,,,,,,
,https://www.mapdevelopers.com/distance_finder.php?polylines=%5B%5B%5B%5B33.91564555863607%2C-118.2019408433535%5D%2C%5B47.61327117346397%2C-122.3328002183535%5D%2C%5B47.61327117346397%2C-122.3328002183535%5D%5D%2C%22%23000000%22%5D%2C%5B%5B%5B21.291627523721658%2C-157.90826680824478%5D%2C%5B33.872422251513065%2C-118.35748555824478%5D%5D%2C%22%23000000%22%5D%2C%5B%5B%5B34.01824404389364%2C-118.22564962074478%5D%2C%5B61.194553727507945%2C-149.8094008487538%5D%2C%5B61.194553727507945%2C-149.8094008487538%5D%5D%2C%22%23000000%22%5D%2C%5B%5B%5B33.96497325878341%2C-118.24528527988468%5D%2C%5B33.379822442970806%2C-112.09294152988468%5D%5D%2C%22%23000000%22%5D%2C%5B%5B%5B33.41651086608443%2C-112.02702356113468%5D%2C%5B47.534795369866906%2C-122.26628137363468%5D%2C%5B47.534795369866906%2C-122.26628137363468%5D%5D%2C%22%23000000%22%5D%2C%5B%5B%5B33.39815643021378%2C-112.09276083644204%5D%2C%5B32.77222196215443%2C-96.84373739894204%5D%5D%2C%22%23000000%22%5D%2C%5B%5B%5B33.964961178181234%2C-118.22313193019204%5D%2C%5B36.1234144641139%2C-115.14696005519204%5D%5D%2C%22%23000000%22%5D%2C%5B%5B%5B36.11934664507901%2C-115.14696005519204%5D%2C%5B33.37560502199785%2C-112.07078818019204%5D%5D%2C%22%23000000%22%5D%2C%5B%5B%5B32.68564017437337%2C-96.83514686685317%5D%2C%5B28.4493950878279%2C-81.36639686685317%5D%5D%2C%22%23000000%22%5D%2C%5B%5B%5B28.507336795070742%2C-81.36639686685317%5D%2C%5B33.916033149396696%2C-118.23651405435317%5D%5D%2C%22%23000000%22%5D%2C%5B%5B%5B28.487274975722215%2C-81.4145619808296%5D%2C%5B40.671675829972024%2C-73.9878041683296%5D%5D%2C%22%23000000%22%5D%2C%5B%5B%5B33.96752045397603%2C-118.27419026318256%5D%2C%5B40.66939997197812%2C-73.97731526318262%5D%5D%2C%22%23000000%22%5D%2C%5B%5B%5B47.55098436673744%2C-122.33627608958369%5D%2C%5B61.195934561277255%2C-149.81548488182602%5D%5D%2C%22%23000000%22%5D%2C%5B%5B%5B41.830306862581445%2C-87.63046045907322%5D%2C%5B40.64066278308148%2C-74.00741358407322%5D%5D%2C%22%23000000%22%5D%2C%5B%5B%5B41.81393243011032%2C-87.65243311532322%5D%2C%5B28.52625008538569%2C-81.41219874032322%5D%5D%2C%22%23000000%22%5D%2C%5B%5B%5B41.79557215806229%2C-87.63046045907322%5D%2C%5B32.79615387808413%2C-96.81503077157322%5D%5D%2C%22%23000000%22%5D%2C%5B%5B%5B41.8119512842246%2C-87.63046045907322%5D%2C%5B47.55400069390242%2C-122.25936670907322%5D%5D%2C%22%23000000%22%5D%5D,,,,,,,,,
